Part No.,Description,Order,Cost ,Price ,Model,Inventory Turnover,Sales 2024,Sales 2023,Inventory,Category,Annual Target
3092710,Metal oil pan gasket,2,1711.85,70000,FH13,Fast-moving,3,0,0,Gearbox,4
21585801,Cartel,2,6781.47,8341,FH4,New product,0,0,2,,5
20455908,Heater switch,3,142.64,5000,FH12,Fast-moving,0,2,4,Body,5
20869387,Filter water bowl,2,770.8,34000,FH13,Medium-moving,0,0,2,Engine,5
1521900,AC compressor,0,1031.81,35000,FH12,Slow-moving,0,1,3,Engine,5
20397619,Fan and blade,0,3485.15,120000,FH12-420,Dead stock,0,0,2,Engine,5
82835601,Cab rear lock,3,348.04,428,FH4,Fast-moving,1,0,1,,5
84013224,headlamp protector; left,3,284.82,350,FH4,Fast-moving,1,15,16,Body,5
21214534,position lamp; white,3,129.06,159,FH4,Fast-moving,1,3,4,Body,5
21516454,Air pressure sensor,3,5907.91,7267,FH4,Fast-moving,1,1,2,Body,5
84210168,Cap,3,4353.78,5355,FH4,Fast-moving,2,0,0,,5
82835554,Cap,3,348.04,428,FH4,Fast-moving,2,0,0,,5
21296874,sensor; right,3,459.29,565,FH4,Fast-moving,3,3,2,Gearbox,5
20443002,Cab rear lock,2,1515.07,30000,FH13,New product,0,0,1,Body,6
21122123,duct,2,2836.79,3489,FH4,Medium-moving,0,1,2,Body,6
21318121,Heater switch,2,1851.59,70000,FH13,Medium-moving,0,5,6,Body,6
21190825,Panel,0,5202.9,180000,FH13,Slow-moving,0,0,1,Body,6
20508011,Sensor,3,356.5,15000,FH12,Fast-moving,0,0,1,Body,6
21578244,Gear lever cable,3,100.64,124,FH4,Fast-moving,0,4,5,Body,6
1521879,Gear lever cable,2,578.22,37000,FH12,Medium-moving,0,0,1,Gearbox,6
21294062,Clutch bearing,2,220.85,12000,FH13,Medium-moving,0,0,1,Gearbox,6
20390737,Sensor ,0,,11000,FH12,Slow-moving,0,2,3,Gearbox,6
20806454,Disck,3,3176.9,3908,FH4,Fast-moving,0,1,2,Gearbox,6
20555313,Differential oil seal,2,264.61,18000,FH12,New product,0,0,1,Engine,6
20505537,Oil cooler,2,2878.09,120000,FH13,Medium-moving,0,2,3,Engine,6
270950,Sliding gear (gearbox),3,91.28,5500,FH12,Fast-moving,0,6,7,Engine,6
21189159,Windshield washer pump,2,383.91,13000,FH12,Medium-moving,1,1,1,Body,6
21031573,Dashboard,2,5291.53,210000,FH13,Medium-moving,1,0,0,Body,6
22445004,VECU,3,1941.23,2388,FH4,Fast-moving,1,0,0,Body,6
22085772,modulator,2,2044.12,2514,FH4,Medium-moving,1,2,2,Gearbox,6
20920600,silencer,2,32419.78,39876,FH4,Medium-moving,2,1,0,Body,6
20567635,Mirror cover,3,420.29,10000,FH12,Fast-moving,2,1,0,Body,6
21296875,sensor; left,3,466.05,573,FH4,Fast-moving,2,3,2,Gearbox,6
82360122,front panel,3,4681.58,5758,FH4,Fast-moving,4,20,17,Body,6
20826591,Wiper blade,2,,6500,FH13,Medium-moving,0,0,0,Body,7
20850557,Sensor,2,963.49,25000,FH12,Medium-moving,0,0,0,Body,7
24427534,Battery cut-off switch,2,1311.83,28000,FH12,Medium-moving,0,0,0,Body,7
20379172,Cap,2,674.81,25000,FM9,Medium-moving,0,0,0,Body,7
21001676,Lamp,0,2122.69,90000,FH12,Slow-moving,0,2,2,Body,7
21001663,Lamp,0,1960.92,80000,FH12,Dead stock,0,0,0,Body,7
20826213,Lamp,0,163.19,6000,FH12,Dead stock,0,0,0,Body,7
20424060,Air pressure sensor,0,273.97,8000,FH12,Dead stock,0,0,0,Body,7
21244773,grille,4,328.47,404,FH4,Fast-moving,0,2,2,Body,7
21660485,sensor,4,404.11,497,FH4,Fast-moving,0,0,0,Body,7
20453600,Steering wheel,4,649.49,17000,FH12,Fast-moving,0,0,0,Body,7
1619664,Panel,4,1581.4,70000,FH12,Fast-moving,0,0,0,Body,7
1619665,Water tank door,4,1493.53,50000,FH12,Fast-moving,0,0,0,Body,7
3090708,Exhaust tank,4,3304.63,130000,FH12,Fast-moving,0,0,0,Body,7
21478760,Cab base adapter,4,437.48,20000,FH13-440,Fast-moving,0,0,0,Body,7
21148852,Rear cabin plate,4,293.89,17000,FH13,Fast-moving,0,1,1,Body,7
20360266,Front grille,4,4681.58,130000,FH12,Fast-moving,0,0,0,Body,7
82322924,Front grille,4,7695,120000,FH13,Fast-moving,0,0,0,Body,7
82355678,Lamp,4,,7500,FH13,Fast-moving,0,0,0,Body,7
1606839,Front air guard grille,4,34.04,1800,FH12,Fast-moving,0,0,0,Body,7
20360542,Door,4,5391.79,265000,FH12,Fast-moving,0,0,0,Body,7
20360543,Door,4,5391.79,275000,FH12,Fast-moving,0,0,0,Body,7
20741782,Front bumper,4,7779.05,450000,NH12,Fast-moving,0,0,0,Body,7
20843850,Intermediate gearbox gear,4,311.54,19000,FH12,Fast-moving,0,0,0,Body,7
20544814,Engine hood,4,21013.68,750000,NH12,Fast-moving,0,0,0,Body,7
8141235,Side guard,4,502.07,21000,FH12,Fast-moving,0,0,0,Body,7
20379171,Cap,4,674.81,25000,FM9,Fast-moving,0,0,0,Body,7
20425122,Central lock motor,4,582.55,32000,FH13,Fast-moving,0,0,0,Body,7
20976003,Filter,4,143.42,3500,FH12,Fast-moving,0,0,0,Lubricant,7
20835246,Intermediate gearbox gear,2,609.69,30000,FH12,Medium-moving,0,0,0,Gearbox,7
1521422,Air spring,0,1445.31,120000,FH12,Slow-moving,0,2,2,Gearbox,7
20539764,Oil pressure sensor,0,9816.82,160000,FH12,Slow-moving,0,1,1,Gearbox,7
21068286,Exhaust gasket,0,1007.06,56000,FH12,Slow-moving,0,0,0,Gearbox,7
3192614,Fan and blade,0,41.35,2000,FH12,Dead stock,0,0,0,Gearbox,7
8172640,Oil pump,0,2167.96,110000,FH12,Dead stock,0,0,0,Gearbox,7
20741703,Diesel fuel pump,0,3818.78,80000,FH12,Dead stock,0,0,0,Gearbox,7
20810985,Diesel fuel pump,0,5400.5,130000,FH13,Dead stock,0,0,0,Gearbox,7
20805850,Water pump housing,0,99.1,3000,FH13,Dead stock,0,0,0,Gearbox,7
1546480,Crankshaft rear oil seal,0,119.89,4000,FH12,Dead stock,0,0,0,Gearbox,7
3986328,Water pipe seal,4,3155.57,70000,FH12,Fast-moving,0,0,0,Gearbox,7
20367533,Exhaust kit,4,759.15,40000,FH13,Fast-moving,0,0,0,Gearbox,7
1524838,Differential oil seal,4,129.19,7000,FH12,Fast-moving,0,0,0,Gearbox,7
3192615,Differential oil seal,4,274.18,13000,FH12,Fast-moving,0,0,0,Gearbox,7
21593944,Differential oil seal,4,3800,5000,FH12-460,Fast-moving,0,0,0,Gearbox,7
20538307,AC compressor,2,,90000,FH12,Medium-moving,0,1,1,Engine,7
20430564,AC compressor,0,4724.02,85000,FH12,Slow-moving,0,1,1,Engine,7
20838388,Diesel fuel pump,0,1493.42,65000,FH12,Dead stock,0,0,0,Engine,7
20734268,Water pump housing,0,1252.55,60000,FH12,Dead stock,0,0,0,Engine,7
20450240,Brake disc,4,3658.92,120000,FH12-420,Fast-moving,0,0,0,Engine,7
20824906,Brake disc,4,3179.55,130000,FH13,Fast-moving,0,0,0,Engine,7
3169582,Brake disc,4,401.21,21000,FH13,Fast-moving,0,0,0,Engine,7
20430367,Brake disc,4,124.46,7000,FH12,Fast-moving,0,0,0,Engine,7
20712534,Engine belt,4,,11000,FH13,Fast-moving,0,0,0,Engine,7
24426247,Turbocharger,4,6113.69,300000,FH12,Fast-moving,0,0,0,Engine,7
20411199,Valve,4,1980.48,110000,FH12,Fast-moving,0,0,0,Engine,7
8148259,Valve,4,183.78,14000,FM,Fast-moving,0,0,0,Engine,7
20747511,Valve,4,433.58,23000,FH13,Fast-moving,0,0,0,Engine,7
20510082,Valve,4,86.99,3000,FH12,Fast-moving,0,0,0,Engine,7
1547562,Valve,4,204.81,12000,FH12,Fast-moving,0,0,0,Engine,7
20706889,Sensor,2,722.62,40000,FH12,Medium-moving,1,1,0,Body,7
1594228,Sensor ,4,397.68,489,FH12,Fast-moving,2,2,0,Gearbox,7
85112559,Engine door gasket,4,395.86,18000,FH12,Fast-moving,2,2,0,Engine,7
20853484,Heater relay,0,536.94,14000,FH12,Slow-moving,0,1,0,Body,8
21001668,Lamp,4,1960.92,80000,FH12,Fast-moving,0,1,0,Body,8
82144656,Sun visor cover,4,287.4,15000,FH13,Fast-moving,0,1,0,Body,8
20582206,Exhaust gasket,0,,22000,FH12,Slow-moving,0,1,0,Gearbox,8
20518642,sealing,4,153.27,189,FH4,Fast-moving,0,1,0,Gearbox,8
21247147,Sensor ,4,269.26,16000,FH12,Fast-moving,0,1,0,Gearbox,8
21002852,Sensor ,4,,32000,FM9,Fast-moving,0,2,1,Gearbox,8
20429343,Air compressor,2,6664.36,220000,FH12,Medium-moving,0,1,0,Engine,8
3095479,Diesel return valve,2,240.87,7000,FH12,Medium-moving,0,1,0,Engine,8
20730366,Exhaust valve,0,2227.92,40000,FH12,Slow-moving,0,1,0,Engine,8
1628246,Gearbox gear,4,81.15,100,FH12,Fast-moving,0,2,1,Engine,8
21663562,sensor; right,4,357.42,440,FH4,Fast-moving,3,4,0,Gearbox,8
21941702,panel,5,2219.58,2730,FH4,Fast-moving,5,6,0,Body,9
3165423,Engine door gasket,2,6342.7,350000,FH12,Fast-moving,0,0,0,Engine,9
21001674,Lamp,3,2122.69,90000,FH12,Medium-moving,0,2,0,Body,9
82921563,Battery cut-off switch,5,1224.43,35000,FH13,Fast-moving,0,2,0,Body,9
1629499,Cap,5,170.17,1200,FH12,Fast-moving,0,2,0,Body,9
21146952,Heater relay,5,1198.49,45000,FH13,Fast-moving,0,2,0,Body,9
21343551,Air spring,3,,38000,FM9,Medium-moving,0,2,0,Gearbox,9
20582215,Cooler housing gasket FH13,3,,22000,FH12,Medium-moving,0,2,0,Gearbox,9
20760515,Oil filter base gasket,5,517.01,25000,FH12,Fast-moving,0,3,1,Gearbox,9
20776783,Oil filter base gasket,5,1156.25,65000,FH12,Fast-moving,0,2,0,Gearbox,9
20758237,Gearbox gear,5,2462.73,150000,FM9,Fast-moving,0,2,0,Engine,9
1547255,Valve,5,49000,60000,FH12,Fast-moving,0,2,0,Engine,9
20480827,Valve,5,165.71,6500,FM9,Fast-moving,0,2,0,Engine,9
20904803,Metal oil pan gasket,2,2360.62,230000,FH12,Fast-moving,0,1,0,Gearbox,10
21296829,sensor,3,362.3,446,FH4,Medium-moving,0,5,2,Body,10
82307443,Rear cabin plate,5,8193.11,10078,FH4,Fast-moving,0,3,0,Body,10
82171603,foot plate; left,5,344.48,424,FH4,Fast-moving,0,3,0,Body,10
21478759,Lamp,5,437.48,25000,FH13-480,Fast-moving,0,3,0,Body,10
82214183,Door frame,5,12906.98,15876,FH4,Fast-moving,0,3,0,Body,10
20431584,Brake disc,5,2282.55,70000,FH13,Fast-moving,0,3,0,Engine,10
21497416,Valve,5,356.79,22000,FM,Fast-moving,0,3,0,Engine,10
